0 2:1 5:17 6:155 7:6 8:300 9:540 10:3 11:3.7 12:0.038 14:1 15:28.4 16:11.7 18:0.157 19:11.87 20:43 21:15.58 22:33.6 23:840.5 24:179.1 25:1561
0 3:1 5:25 6:20 7:9 8:162 9:325 10:4.16 11:2.85 12:0.044 13:72.59999999999999 14:3 15:20.6 16:9.1 18:0.192 19:11.31 20:178.9 21:8.93 22:18 23:591.4 24:184.8 25:2025
2 1:1 5:13 6:172 7:9 8:222 9:420 10:3.34 11:1.62 12:0.105 13:113.7 14:4 15:14.8 16:7 18:0.168 19:41.84 20:315.2 21:4.13 22:28.8 23:875 24:94.90000000000001 25:2924
0 2:1 5:24 6:77 7:7 8:179 9:335 10:2.96 11:2.49 12:0.019 13:104.4 14:4 15:18.7 16:7.2 18:0.173 19:4.7 20:221.9 21:10.45 22:23.2 23:612.2 24:182.1 25:1162
1 1:1 5:23 6:17 7:12 8:218 9:280 10:3.34 11:2.26 12:0.06900000000000001 13:138.5 14:3 15:26.5 16:8.800000000000001 18:0.166 19:4.09 20:260 21:4.29 22:24.1 23:791.2 24:436 25:2161
2 3:1 5:14 6:42 7:11 8:409 9:400 10:4.14 11:1.53 12:0.053 13:131.1 14:3 15:9 16:10.2 18:0.154 19:33.69 20:144.7 21:2.7 22:26.1 23:785.3 24:129.2 25:2319
1 1:1 5:20 6:18 7:9 8:243 9:285 10:3.34 11:1.99 12:0.062 13:109.5 14:4 15:26.4 16:10.1 18:0.167 19:13.06 20:374.8 21:6.88 22:27.5 23:711.6 24:294.7 25:1481
2 4:1 5:11 6:17 7:30 8:344 9:440 10:5 11:2.48 12:0.078 13:271.3 14:3 15:8.4 16:9.800000000000001 18:0.17 19:49.46 20:203.6 21:1.51 22:27.4 23:707.8 24:132.3 25:3682
1 1:1 5:27 6:35 7:10 8:204 9:440 10:3.34 11:2.31 12:0.073 13:141.3 14:3 15:14.1 16:5.5 18:0.175 19:13.92 20:254.8 21:6.48 22:24.3 23:595.8 24:98.59999999999999 25:2063
1 4:1 5:20 6:30 7:29 8:316 9:510 10:4.7 11:2 12:0.133 13:129.9 14:3 15:23.2 16:9.9 18:0.18 19:13.38 20:355.2 21:5.91 22:26.9 23:611.9 24:134.8 25:3158
2 3:1 5:7 6:103 7:12 8:375 9:440 10:4.54 11:2.76 12:0.052 13:285.7 14:5 15:9 16:9.4 18:0.158 19:46.72 20:165 21:3.26 22:31.5 23:773.1 24:160 25:2477
2 4:1 5:23 6:58 7:27 8:310 9:530 10:5.88 11:2.51 12:0.106 13:216.2 14:2 15:16.7 16:9.800000000000001 18:0.175 19:31.33 20:432.2 21:5.68 22:25.5 23:653.5 24:102.1 25:3873
0 2:1 5:18 6:68 7:7 8:189 9:430 10:3 11:2.53 12:0.012 13:96 14:4 15:46 16:6.8 18:0.192 19:6.86 20:111.8 21:3.35 22:36.4 23:729.1 24:153.9 25:1757
2 3:1 5:15 6:108 7:10 8:313 9:395 10:4.16 11:2.69 12:0.064 13:182.6 14:4 15:8.1 16:7.6 18:0.145 19:37.14 20:182.8 21:9.56 22:25.5 23:666.4 24:148.4 25:2303
1 3:1 5:28 6:20 7:8 8:195 9:340 10:4.54 11:3.17 12:0.025 13:41.6 14:2 15:28.2 16:7.3 18:0.197 19:15.06 20:249.2 21:6.9 22:29.7 23:620.2 24:170.1 25:2310
0 3:1 5:18 6:93 7:8 8:206 9:375 10:4.76 11:2.7 12:0.04 13:159 14:3 15:13.7 16:9.4 18:0.168 19:8.25 20:102 21:10.89 22:32.1 23:778.7 24:201.2 25:1509
1 1:1 5:16 6:68 7:8 8:303 9:515 10:3.48 11:3.51 12:0.098 13:92.3 14:4 15:31.7 16:11.1 18:0.153 19:28.96 20:310.4 21:8.69 22:36.9 23:792 24:132.9 25:2222
0 3:1 5:33 6:152 7:6 8:171 9:320 10:6 11:1.82 12:0.059 13:67.3 14:4 15:11.1 16:6 18:0.126 19:18.46 20:237.8 21:11.59 22:29.1 23:657.6 24:56.2 25:1713
1 1:1 5:17 6:112 7:10 8:310 9:475 10:3.8 11:2.9 12:0.08500000000000001 13:30.5 14:3 15:57.3 16:10.9 18:0.143 19:10.01 20:102.2 21:10.47 22:39.3 23:893.5 24:91.90000000000001 25:2157
0 2:1 5:24 6:155 7:6 8:272 9:385 10:3.64 11:2.52 12:0.042 13:2.8 14:2 15:30.4 16:10.2 18:0.178 19:22.13 20:87.59999999999999 21:11.82 22:37.2 23:862 24:114.7 25:1831
2 4:1 5:24 6:80 7:38 8:255 9:475 10:6.36 11:3.31 12:0.104 13:156.4 14:3 15:12.8 16:10.7 18:0.162 19:31.55 20:642.7 21:6.68 22:22.6 23:645.6 24:154.5 25:3064
